/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-101.maverick2.tacc.utexas.edu
Tue Oct 25 11:35:09 CDT 2022
start training unet 256
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-25 11:36:59.628483 epoch 1: loss: 0.01214 | coarse loss: 0.00435
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-25 13:23:24.324915 epoch 145: loss: 0.00195 | coarse loss: 0.00435
2022-10-25 13:24:08.557703 epoch 146: loss: 0.00189 | coarse loss: 0.00435
2022-10-25 13:24:52.901694 epoch 147: loss: 0.00187 | coarse loss: 0.00434
2022-10-25 13:25:37.374716 epoch 148: loss: 0.00199 | coarse loss: 0.00435
2022-10-25 13:26:21.911921 epoch 149: loss: 0.00187 | coarse loss: 0.00435
2022-10-25 13:27:06.377359 epoch 150: loss: 0.00192 | coarse loss: 0.00436
2022-10-25 13:27:50.974533 epoch 151: loss: 0.00205 | coarse loss: 0.00434
2022-10-25 13:28:35.594852 epoch 152: loss: 0.00191 | coarse loss: 0.00435
2022-10-25 13:29:19.917945 epoch 153: loss: 0.00186 | coarse loss: 0.00435
2022-10-25 13:30:04.375444 epoch 154: loss: 0.00187 | coarse loss: 0.00436
2022-10-25 13:30:48.740469 epoch 155: loss: 0.00187 | coarse loss: 0.00434
2022-10-25 13:31:33.189926 epoch 156: loss: 0.00187 | coarse loss: 0.00434
2022-10-25 13:32:17.298809 epoch 157: loss: 0.00205 | coarse loss: 0.00435
2022-10-25 13:33:01.956358 epoch 158: loss: 0.00189 | coarse loss: 0.00435
2022-10-25 13:33:46.760044 epoch 159: loss: 0.00185 | coarse loss: 0.00435
2022-10-25 13:34:31.053024 epoch 160: loss: 0.00184 | coarse loss: 0.00435
2022-10-25 13:35:15.809776 epoch 161: loss: 0.00184 | coarse loss: 0.00435
2022-10-25 13:36:00.148291 epoch 162: loss: 0.00184 | coarse loss: 0.00435
2022-10-25 13:36:44.397239 epoch 163: loss: 0.00183 | coarse loss: 0.00434
2022-10-25 13:37:28.600206 epoch 164: loss: 0.00184 | coarse loss: 0.00435
2022-10-25 13:38:12.956631 epoch 165: loss: 0.00183 | coarse loss: 0.00434
2022-10-25 13:38:57.449745 epoch 166: loss: 0.00185 | coarse loss: 0.00436
2022-10-25 13:39:41.853481 epoch 167: loss: 0.00185 | coarse loss: 0.00436
2022-10-25 13:40:25.952356 epoch 168: loss: 0.00183 | coarse loss: 0.00434
2022-10-25 13:41:10.400202 epoch 169: loss: 0.00181 | coarse loss: 0.00434
2022-10-25 13:41:54.922683 epoch 170: loss: 0.00184 | coarse loss: 0.00435
2022-10-25 13:42:39.196447 epoch 171: loss: 0.00181 | coarse loss: 0.00434
2022-10-25 13:43:23.539583 epoch 172: loss: 0.00182 | coarse loss: 0.00436
2022-10-25 13:44:07.848185 epoch 173: loss: 0.00182 | coarse loss: 0.00434
2022-10-25 13:44:52.308215 epoch 174: loss: 0.00206 | coarse loss: 0.00435
2022-10-25 13:45:36.638006 epoch 175: loss: 0.00186 | coarse loss: 0.00434
2022-10-25 13:46:21.397478 epoch 176: loss: 0.00181 | coarse loss: 0.00435
