/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Fri Sep 16 00:02:39 CDT 2022
start training tiramisu
gpu available: True
setting up data
2022-09-16 19:36:05.720465 epoch 171: loss: 0.00694 | coarse loss: 0.02796 
2022-09-16 19:42:57.156058 epoch 172: loss: 0.00696 | coarse loss: 0.02796 
2022-09-16 19:49:48.580907 epoch 173: loss: 0.00696 | coarse loss: 0.02796 
2022-09-16 19:56:40.148155 epoch 174: loss: 0.00695 | coarse loss: 0.02796 
2022-09-16 20:03:31.434439 epoch 175: loss: 0.00700 | coarse loss: 0.02796 
2022-09-16 20:10:22.650755 epoch 176: loss: 0.00698 | coarse loss: 0.02796 
2022-09-16 20:17:14.158102 epoch 177: loss: 0.00697 | coarse loss: 0.02796 
2022-09-16 20:24:05.647792 epoch 178: loss: 0.00693 | coarse loss: 0.02796 
2022-09-16 20:30:57.115622 epoch 179: loss: 0.00692 | coarse loss: 0.02796 
2022-09-16 20:37:48.668490 epoch 180: loss: 0.00694 | coarse loss: 0.02796 
2022-09-16 20:44:40.199199 epoch 181: loss: 0.00692 | coarse loss: 0.02796 
2022-09-16 20:51:31.452813 epoch 182: loss: 0.00695 | coarse loss: 0.02796 
2022-09-16 20:58:23.114744 epoch 183: loss: 0.00692 | coarse loss: 0.02796 
2022-09-16 21:05:14.538309 epoch 184: loss: 0.00693 | coarse loss: 0.02796 
2022-09-16 21:12:05.697743 epoch 185: loss: 0.00691 | coarse loss: 0.02796 
2022-09-16 21:18:56.789405 epoch 186: loss: 0.00686 | coarse loss: 0.02796 
2022-09-16 21:25:48.349077 epoch 187: loss: 0.00692 | coarse loss: 0.02796 
2022-09-16 21:32:39.472367 epoch 188: loss: 0.00690 | coarse loss: 0.02796 
2022-09-16 21:39:30.567980 epoch 189: loss: 0.00690 | coarse loss: 0.02796 
2022-09-16 21:46:21.695464 epoch 190: loss: 0.00689 | coarse loss: 0.02796 
2022-09-16 21:53:12.836930 epoch 191: loss: 0.00683 | coarse loss: 0.02796 
2022-09-16 22:00:03.992882 epoch 192: loss: 0.00688 | coarse loss: 0.02796 
2022-09-16 22:06:55.191661 epoch 193: loss: 0.00688 | coarse loss: 0.02796 
2022-09-16 22:13:46.255346 epoch 194: loss: 0.00692 | coarse loss: 0.02796 
2022-09-16 22:20:37.347066 epoch 195: loss: 0.00685 | coarse loss: 0.02796 
2022-09-16 22:27:28.575381 epoch 196: loss: 0.00683 | coarse loss: 0.02796 
2022-09-16 22:34:20.094106 epoch 197: loss: 0.00682 | coarse loss: 0.02796 
2022-09-16 22:41:11.529003 epoch 198: loss: 0.00685 | coarse loss: 0.02796 
2022-09-16 22:48:02.954814 epoch 199: loss: 0.00686 | coarse loss: 0.02796 
2022-09-16 22:54:54.046880 epoch 200: loss: 0.00689 | coarse loss: 0.02796 
2022-09-16 23:01:45.213873 epoch 201: loss: 0.00684 | coarse loss: 0.02796 
2022-09-16 23:08:36.395986 epoch 202: loss: 0.00682 | coarse loss: 0.02796 
2022-09-16 23:15:27.463252 epoch 203: loss: 0.00686 | coarse loss: 0.02796 
2022-09-16 23:22:18.526167 epoch 204: loss: 0.00679 | coarse loss: 0.02796 
2022-09-16 23:29:09.991835 epoch 205: loss: 0.00683 | coarse loss: 0.02796 
2022-09-16 23:36:01.070333 epoch 206: loss: 0.00683 | coarse loss: 0.02796 
2022-09-16 23:42:52.373779 epoch 207: loss: 0.00681 | coarse loss: 0.02796 
2022-09-16 23:49:43.918397 epoch 208: loss: 0.00676 | coarse loss: 0.02796 
2022-09-16 23:56:35.285446 epoch 209: loss: 0.00682 | coarse loss: 0.02796 
slurmstepd: error: *** JOB 200107 ON c228-107 CANCELLED AT 2022-09-17T00:02:45 DUE TO TIME LIMIT ***
